"date","commodity","price","Reference","beginning_stocks_usda","crush_usda","domestic_consumption_usda","ending_stocks_usda","exports_usda","feed_waste_dom_cons_usda","food_use_dom_cons_usda","imports_usda","industrial_dom_cons_usda","production_usda","total_distribution_usda","total_Supply_usda"
"2014-10-31","Sunflower",888.26,"World",236.38,2995.71,1189.12,217.14,624.96,6.04,1122.08,537.67,61,1257.18,2031.22,2031.22
"2014-09-30","Sunflower",834.09,"World",231.69,3004.9,1188.9,220,627.27,6.1,1121.79,542.62,61,1261.85,2036.17,2036.17
"2014-08-31","Sunflower",853.75,"World",227,3014.08,1188.67,222.86,629.58,6.17,1121.5,547.58,61,1266.53,2041.11,2041.11
"2014-07-31","Sunflower",908.04,"World",222.31,3023.27,1188.44,225.72,631.9,6.23,1121.21,552.54,61,1271.2,2046.06,2046.06
"2014-06-30","Sunflower",942.38,"World",217.62,3032.46,1188.21,228.58,634.21,6.29,1120.92,557.5,61,1275.88,2051,2051
"2014-05-31","Sunflower",951.5,"World",212.94,3041.65,1187.98,231.44,636.52,6.35,1120.62,562.46,61,1280.55,2055.94,2055.94
"2014-04-30","Sunflower",952.25,"World",208.25,3050.83,1187.75,234.31,638.83,6.42,1120.33,567.42,61,1285.22,2060.89,2060.89
"2014-03-31","Sunflower",984.76,"World",203.56,3060.02,1187.52,237.17,641.15,6.48,1120.04,572.38,61,1289.9,2065.83,2065.83
"2014-02-28","Sunflower",953,"World",198.88,3069.21,1187.29,240.03,643.46,6.54,1119.75,577.33,61,1294.57,2070.78,2070.78
"2014-01-31","Sunflower",951.82,"World",194.19,3078.4,1187.06,242.89,645.77,6.6,1119.46,582.29,61,1299.24,2075.72,2075.72
"2013-12-31","Sunflower",996,"World",189.5,3087.58,1186.83,245.75,648.08,6.67,1119.17,587.25,61,1303.92,2080.67,2080.67
"2013-11-30","Sunflower",1004.05,"World",194.89,3045.01,1179.54,241.06,632.58,6.67,1112.01,573.66,60.86,1284.64,2053.19,2053.19
"2013-10-31","Sunflower",1008.48,"World",200.28,3002.44,1172.25,236.38,617.08,6.67,1104.86,560.07,60.72,1265.36,2025.71,2025.71
"2013-09-30","Sunflower",1005.71,"World",205.67,2959.88,1164.96,231.69,601.58,6.67,1097.71,546.48,60.58,1246.08,1998.23,1998.23
"2013-08-31","Sunflower",1111.67,"World",211.06,2917.31,1157.67,227,586.08,6.67,1090.56,532.89,60.44,1226.81,1970.75,1970.75
"2013-07-31","Sunflower",1210.87,"World",216.44,2874.74,1150.38,222.31,570.58,6.67,1083.4,519.3,60.31,1207.53,1943.27,1943.27
"2013-06-30","Sunflower",1245.25,"World",221.83,2832.17,1143.08,217.62,555.08,6.67,1076.25,505.71,60.17,1188.25,1915.79,1915.79
"2013-05-31","Sunflower",1227.73,"World",227.22,2789.6,1135.79,212.94,539.58,6.67,1069.1,492.12,60.03,1168.97,1888.31,1888.31
"2013-04-30","Sunflower",1221.14,"World",232.61,2747.03,1128.5,208.25,524.08,6.67,1061.94,478.53,59.89,1149.69,1860.83,1860.83
"2013-03-31","Sunflower",1249.76,"World",238,2704.46,1121.21,203.56,508.58,6.67,1054.79,464.94,59.75,1130.42,1833.35,1833.35
"2013-02-28","Sunflower",1285.75,"World",243.39,2661.89,1113.92,198.88,493.08,6.67,1047.64,451.35,59.61,1111.14,1805.88,1805.88
"2013-01-31","Sunflower",1298.48,"World",248.78,2619.32,1106.62,194.19,477.58,6.67,1040.49,437.76,59.47,1091.86,1778.4,1778.4
"2012-12-31","Sunflower",1271.9,"World",254.17,2576.75,1099.33,189.5,462.08,6.67,1033.33,424.17,59.33,1072.58,1750.92,1750.92
"2012-11-30","Sunflower",1285.23,"World",245.81,2601.33,1094.94,194.89,468.56,6.67,1029.42,429.65,58.85,1082.94,1758.39,1758.39
"2012-10-31","Sunflower",1302.61,"World",237.44,2625.9,1090.54,200.28,475.04,6.67,1025.51,435.12,58.36,1093.29,1765.86,1765.86
"2012-09-30","Sunflower",1572.25,"World",229.08,2650.48,1086.15,205.67,481.52,6.67,1021.6,440.6,57.88,1103.65,1773.33,1773.33
"2012-08-31","Sunflower",1525.43,"World",220.72,2675.06,1081.75,211.06,488,6.67,1017.69,446.08,57.39,1114,1780.81,1780.81
"2012-07-31","Sunflower",1472.27,"World",212.36,2699.63,1077.35,216.44,494.48,6.67,1013.78,451.56,56.9,1124.35,1788.28,1788.28
"2012-06-30","Sunflower",1430.48,"World",204,2724.21,1072.96,221.83,500.96,6.67,1009.88,457.04,56.42,1134.71,1795.75,1795.75
"2012-05-31","Sunflower",1522.17,"World",195.64,2748.78,1068.56,227.22,507.44,6.67,1005.97,462.52,55.93,1145.06,1803.22,1803.22
"2012-04-30","Sunflower",1551.9,"World",187.28,2773.36,1064.17,232.61,513.92,6.67,1002.06,468,55.44,1155.42,1810.69,1810.69
"2012-03-31","Sunflower",1500.68,"World",178.92,2797.94,1059.77,238,520.4,6.67,998.15,473.48,54.96,1165.77,1818.17,1818.17
"2012-02-29","Sunflower",1485,"World",170.56,2822.51,1055.38,243.39,526.88,6.67,994.24,478.96,54.47,1176.12,1825.64,1825.64
"2012-01-31","Sunflower",1451.82,"World",162.19,2847.09,1050.98,248.78,533.35,6.67,990.33,484.44,53.99,1186.48,1833.11,1833.11
"2011-12-31","Sunflower",1439.77,"World",153.83,2871.67,1046.58,254.17,539.83,6.67,986.42,489.92,53.5,1196.83,1840.58,1840.58
"2011-11-30","Sunflower",1502.5,"World",154.33,2833.88,1038.08,245.81,526.36,6.62,978.2,474.9,53.26,1181.02,1810.25,1810.25
"2011-10-31","Sunflower",1483.81,"World",154.82,2796.1,1029.58,237.44,512.89,6.57,969.99,459.89,53.03,1165.21,1779.92,1779.92
"2011-09-30","Sunflower",1591.59,"World",155.31,2758.31,1021.08,229.08,499.42,6.52,961.77,444.88,52.79,1149.4,1749.58,1749.58
"2011-08-31","Sunflower",1671.3,"World",155.81,2720.53,1012.58,220.72,485.94,6.47,953.56,429.86,52.56,1133.58,1719.25,1719.25
"2011-07-31","Sunflower",1672.38,"World",156.3,2682.74,1004.08,212.36,472.47,6.42,945.34,414.85,52.32,1117.77,1688.92,1688.92
"2011-06-30","Sunflower",1699.32,"World",156.79,2644.96,995.58,204,459,6.38,937.12,399.83,52.08,1101.96,1658.58,1658.58
"2011-05-31","Sunflower",1644.09,"World",157.28,2607.17,987.08,195.64,445.53,6.33,928.91,384.82,51.85,1086.15,1628.25,1628.25
"2011-04-30","Sunflower",1634.05,"World",157.78,2569.39,978.58,187.28,432.06,6.28,920.69,369.81,51.61,1070.33,1597.92,1597.92
"2011-03-31","Sunflower",1636.96,"World",158.27,2531.6,970.08,178.92,418.58,6.23,912.48,354.79,51.38,1054.52,1567.58,1567.58
"2011-02-28","Sunflower",1704.74,"World",158.76,2493.82,961.58,170.56,405.11,6.18,904.26,339.78,51.14,1038.71,1537.25,1537.25
"2011-01-31","Sunflower",1492,"World",159.26,2456.03,953.08,162.19,391.64,6.13,896.05,324.76,50.9,1022.9,1506.92,1506.92
"2010-12-31","Sunflower",1454,"World",159.75,2418.25,944.58,153.83,378.17,6.08,887.83,309.75,50.67,1007.08,1476.58,1476.58
"2010-11-30","Sunflower",1441,"World",159.9,2419.35,945.58,154.33,377.91,6.09,889.06,310.57,50.43,1007.34,1477.81,1477.81
"2010-10-31","Sunflower",1284,"World",160.06,2420.46,946.57,154.82,377.65,6.1,890.28,311.39,50.19,1007.6,1479.04,1479.04
"2010-09-30","Sunflower",1114,"World",160.21,2421.56,947.56,155.31,377.4,6.1,891.5,312.21,49.96,1007.85,1480.27,1480.27
"2010-08-31","Sunflower",1074,"World",160.36,2422.67,948.56,155.81,377.14,6.11,892.72,313.03,49.72,1008.11,1481.5,1481.5
"2010-07-31","Sunflower",937,"World",160.51,2423.77,949.55,156.3,376.88,6.12,893.94,313.85,49.49,1008.37,1482.73,1482.73
"2010-06-30","Sunflower",889,"World",160.67,2424.88,950.54,156.79,376.62,6.12,895.17,314.67,49.25,1008.62,1483.96,1483.96
"2010-05-31","Sunflower",910,"World",160.82,2425.98,951.53,157.28,376.37,6.13,896.39,315.49,49.01,1008.88,1485.19,1485.19
"2010-04-30","Sunflower",924,"World",160.97,2427.08,952.53,157.78,376.11,6.14,897.61,316.31,48.78,1009.14,1486.42,1486.42
"2010-03-31","Sunflower",949,"World",161.12,2428.19,953.52,158.27,375.85,6.15,898.83,317.12,48.54,1009.4,1487.65,1487.65
